,类别,标题,排名,热度,上榜时间,链接,爬取时间
364,艺人,薛之谦司机今天拉的是盗版凤凰传奇,15,265575,2023-05-27 08:03:26,https://s.weibo.com/weibo?q=#薛之谦司机今天拉的是盗版凤凰传奇#,2023-05-27 08:42:39
371,"社会新闻,情感",探望隔离满月的丫丫,22,175163,2023-05-27 07:44:24,https://s.weibo.com/weibo?q=#探望隔离满月的丫丫#,2023-05-27 08:42:39
374,社会新闻,河北一派出所烟花取样时发生爆炸,25,164639,2023-05-27 08:40:28,https://s.weibo.com/weibo?q=#河北一派出所烟花取样时发生爆炸#,2023-05-27 08:42:39
375,艺人,王鹤棣重庆,26,151230,2023-05-27 08:09:26,https://s.weibo.com/weibo?q=#王鹤棣重庆#,2023-05-27 08:42:39
380,社会新闻,别用冷水化肉,31,128008,2023-05-27 08:08:25,https://s.weibo.com/weibo?q=#别用冷水化肉#,2023-05-27 08:42:39
381,"幽默,艺人",连把五月天文身上的人都没抢到票,32,127800,2023-05-27 08:26:28,https://s.weibo.com/weibo?q=#连把五月天文身上的人都没抢到票#,2023-05-27 08:42:39
382,社会新闻,古人吃剩的螺蛳壳堆成一座山,33,127257,2023-05-27 08:29:29,https://s.weibo.com/weibo?q=#古人吃剩的螺蛳壳堆成一座山#,2023-05-27 08:42:39
383,"社会新闻,科技",为啥年轻人不换新手机了,34,126839,2023-05-27 08:38:29,https://s.weibo.com/weibo?q=#为啥年轻人不换新手机了#,2023-05-27 08:42:39
388,音乐,五月天cue了鸟巢外面的人,39,118735,2023-05-27 08:33:27,https://s.weibo.com/weibo?q=#五月天cue了鸟巢外面的人#,2023-05-27 08:42:39
393,艺人,徐明浩文俊辉是在迎宾吗,44,105305,2023-05-27 08:36:28,https://s.weibo.com/weibo?q=#徐明浩文俊辉是在迎宾吗#,2023-05-27 08:42:39
397,体育,马龙4比1林高远,48,98295,2023-05-27 07:50:24,https://s.weibo.com/weibo?q=#马龙4比1林高远#,2023-05-27 08:42:39
399,时尚,多巴胺穿搭,50,92210,2023-05-27 08:42:27,https://s.weibo.com/weibo?q=#多巴胺穿搭#,2023-05-27 08:42:39
405,音乐,五月天又放票了,6,645839,2023-05-27 09:08:28,https://s.weibo.com/weibo?q=#五月天又放票了#,2023-05-27 09:42:39
410,社会新闻,长沙一家五口命案邻居发声,11,416228,2023-05-27 09:05:29,https://s.weibo.com/weibo?q=#长沙一家五口命案邻居发声#,2023-05-27 09:42:39
418,影视,观音菩萨杨紫琼,19,266537,2023-05-27 09:15:28,https://s.weibo.com/weibo?q=#观音菩萨杨紫琼#,2023-05-27 09:42:39
420,社会新闻,女主播给15岁男孩发半裸照片骗打赏,21,248868,2023-05-27 09:04:30,https://s.weibo.com/weibo?q=#女主播给15岁男孩发半裸照片骗打赏#,2023-05-27 09:42:39
422,情感,你觉得分手真的有必要互删吗,23,246996,2023-05-27 09:23:28,https://s.weibo.com/weibo?q=#你觉得分手真的有必要互删吗#,2023-05-27 09:42:39
427,艺人,爱豆谈恋爱,28,214200,2023-05-27 09:24:29,https://s.weibo.com/weibo?q=#爱豆谈恋爱#,2023-05-27 09:42:39
428,综艺,张凌赫好惨一男的,29,197845,2023-05-27 09:34:30,https://s.weibo.com/weibo?q=#张凌赫好惨一男的#,2023-05-27 09:42:39
429,影视,难怪吴磊说侯明昊好看,30,197749,2023-05-27 09:07:29,https://s.weibo.com/weibo?q=#难怪吴磊说侯明昊好看#,2023-05-27 09:42:39
430,音乐,这跟坐在白敬亭怀里有什么区别,31,195697,2023-05-27 09:28:30,https://s.weibo.com/weibo?q=#这跟坐在白敬亭怀里有什么区别#,2023-05-27 09:42:39
433,综艺,谢娜发火只有马伯骞紧张了,34,183505,2023-05-27 08:54:27,https://s.weibo.com/weibo?q=#谢娜发火只有马伯骞紧张了#,2023-05-27 09:42:39
435,社会新闻,熊孩子剪掉女子头发家长赔1万合理吗,36,182786,2023-05-27 09:21:28,https://s.weibo.com/weibo?q=#熊孩子剪掉女子头发家长赔1万合理吗#,2023-05-27 09:42:39
436,影视,周也戴了72条珠链,37,181900,2023-05-27 08:19:26,https://s.weibo.com/weibo?q=#周也戴了72条珠链#,2023-05-27 09:42:39
439,音乐,熊梓淇五月天演唱会含泪喊到沙哑,40,164381,2023-05-27 09:08:28,https://s.weibo.com/weibo?q=#熊梓淇五月天演唱会含泪喊到沙哑#,2023-05-27 09:42:39
442,综艺,周迅觉得何炅黄磊太像空巢老人,43,139538,2023-05-27 09:03:31,https://s.weibo.com/weibo?q=#周迅觉得何炅黄磊太像空巢老人#,2023-05-27 09:42:39
446,社会新闻,高速上飞奔清路障的鲁A车主找到了,47,117330,2023-05-27 09:39:28,https://s.weibo.com/weibo?q=#高速上飞奔清路障的鲁A车主找到了#,2023-05-27 09:42:39
451,"社会新闻,艺人",逃犯去看周杰伦演唱会路上被抓,2,1125670,2023-05-27 09:49:27,https://s.weibo.com/weibo?q=#逃犯去看周杰伦演唱会路上被抓#,2023-05-27 10:42:40
456,社会新闻,大学生掏鸟案当事人已出狱,7,599356,2023-05-27 09:55:27,https://s.weibo.com/weibo?q=#大学生掏鸟案当事人已出狱#,2023-05-27 10:42:40
465,社会新闻,表兄妹结婚10年育1子被判婚姻无效,16,286656,2023-05-27 00:39:24,https://s.weibo.com/weibo?q=#表兄妹结婚10年育1子被判婚姻无效#,2023-05-27 10:42:40
466,"情感,幽默",恋爱中很多人的忠诚都是演的,17,281563,2023-05-27 10:08:27,https://s.weibo.com/weibo?q=#恋爱中很多人的忠诚都是演的#,2023-05-27 10:42:40
471,"音乐,幽默",今天好多人开演唱会,22,215941,2023-05-27 10:19:28,https://s.weibo.com/weibo?q=#今天好多人开演唱会#,2023-05-27 10:42:40
473,幽默,真的建议不要买开口的榴莲,24,213105,2023-05-27 10:29:29,https://s.weibo.com/weibo?q=#真的建议不要买开口的榴莲#,2023-05-27 10:42:40
476,社会新闻,永久关闭6万多个自媒体账号,27,210724,2023-05-27 10:34:29,https://s.weibo.com/weibo?q=#永久关闭6万多个自媒体账号#,2023-05-27 10:42:40
480,"情感,幽默",上班之后最大的感受 收窄了,31,184062,2023-05-27 10:01:28,https://s.weibo.com/weibo?q=#上班之后最大的感受 收窄了#,2023-05-27 10:42:40
484,综艺,原来王诗龄最苦的时间是录爸爸去哪儿,35,180690,2023-05-27 10:22:29,https://s.weibo.com/weibo?q=#原来王诗龄最苦的时间是录爸爸去哪儿#,2023-05-27 10:42:40
485,音乐,wmls,36,180330,2023-05-27 09:48:29,https://s.weibo.com/weibo?q=#wmls#,2023-05-27 10:42:40
492,社会新闻,外卖小哥送餐时发现罂粟后报警,43,150983,2023-05-27 10:31:28,https://s.weibo.com/weibo?q=#外卖小哥送餐时发现罂粟后报警#,2023-05-27 10:42:40
495,社会新闻,男子租房7年将家变成人生博物馆,46,130546,2023-05-27 10:41:27,https://s.weibo.com/weibo?q=#男子租房7年将家变成人生博物馆#,2023-05-27 10:42:40
499,幽默,韩国人对花花的评价,50,121270,2023-05-27 10:42:27,https://s.weibo.com/weibo?q=#韩国人对花花的评价#,2023-05-27 10:42:40
503,综艺,秋瓷炫南韩酒鬼人设,4,1116663,2023-05-27 10:50:30,https://s.weibo.com/weibo?q=#秋瓷炫南韩酒鬼人设#,2023-05-27 11:42:40
509,音乐,一个舞BLACKPINK跳出了四种感觉,10,490723,2023-05-27 11:19:29,https://s.weibo.com/weibo?q=#一个舞BLACKPINK跳出了四种感觉#,2023-05-27 11:42:40
512,音乐,鹿晗 抢票,13,426341,2023-05-27 10:59:28,https://s.weibo.com/weibo?q=#鹿晗 抢票#,2023-05-27 11:42:40
519,音乐,昆卡,20,207737,2023-05-27 11:25:28,https://s.weibo.com/weibo?q=#昆卡#,2023-05-27 11:42:40
520,幽默,遇到一米八三的不要去要微信,21,207685,2023-05-27 11:26:28,https://s.weibo.com/weibo?q=#遇到一米八三的不要去要微信#,2023-05-27 11:42:40
524,"社会新闻,情感",哥哥嫌给妹妹起的名字土崩溃大哭,25,206332,2023-05-27 11:22:28,https://s.weibo.com/weibo?q=#哥哥嫌给妹妹起的名字土崩溃大哭#,2023-05-27 11:42:40
525,综艺,秦霄贤坐轮椅录制好六,26,206250,2023-05-27 11:07:27,https://s.weibo.com/weibo?q=#秦霄贤坐轮椅录制好六#,2023-05-27 11:42:40
527,综艺,你好星期六,28,205693,2023-05-27 11:35:30,https://s.weibo.com/weibo?q=#你好星期六#,2023-05-27 11:42:40
528,音乐,华莎美国公演舞台露上衣,29,201826,2023-05-27 11:17:30,https://s.weibo.com/weibo?q=#华莎美国公演舞台露上衣#,2023-05-27 11:42:40
529,社会新闻,孕妇地铁站内流血民警暖心守候,30,198464,2023-05-27 11:07:27,https://s.weibo.com/weibo?q=#孕妇地铁站内流血民警暖心守候#,2023-05-27 11:42:40
530,作品衍生,迪丽热巴公诉时尚大片,31,198347,2023-05-27 11:42:27,https://s.weibo.com/weibo?q=#迪丽热巴公诉时尚大片#,2023-05-27 11:42:40
534,艺人,成毅蔡徐坤今日微博开屏,35,152726,2023-05-27 11:12:31,https://s.weibo.com/weibo?q=#成毅蔡徐坤今日微博开屏#,2023-05-27 11:42:40
549,艺人,王一博青岛,50,102252,2023-05-27 11:41:27,https://s.weibo.com/weibo?q=#王一博青岛#,2023-05-27 11:42:40
552,社会新闻,珠峰上的生命接力,3,1137130,2023-05-27 12:41:26,https://s.weibo.com/weibo?q=#珠峰上的生命接力#,2023-05-27 12:42:40
554,社会新闻,4位二阳患者自述感染经历,5,918523,2023-05-27 12:01:28,https://s.weibo.com/weibo?q=#4位二阳患者自述感染经历#,2023-05-27 12:42:40
560,音乐,张杰南京,11,455216,2023-05-27 12:29:28,https://s.weibo.com/weibo?q=#张杰南京#,2023-05-27 12:42:40
569,社会新闻,河北一派出所发生爆炸致4死2失联,20,283322,2023-05-27 12:10:28,https://s.weibo.com/weibo?q=#河北一派出所发生爆炸致4死2失联#,2023-05-27 12:42:40
571,艺人,王一博书包上系丝巾,22,282145,2023-05-27 12:34:28,https://s.weibo.com/weibo?q=#王一博书包上系丝巾#,2023-05-27 12:42:40
575,美食,星卡里,26,257624,2023-05-27 12:26:28,https://s.weibo.com/weibo?q=#星卡里#,2023-05-27 12:42:40
577,综艺,浪姐二公,28,241658,2023-05-27 12:23:27,https://s.weibo.com/weibo?q=#浪姐二公#,2023-05-27 12:42:40
581,音乐,Karma MV,32,206454,2023-05-27 12:34:28,https://s.weibo.com/weibo?q=#Karma MV#,2023-05-27 12:42:40
582,综艺,张嘉倪剪影身材,33,202521,2023-05-27 12:18:28,https://s.weibo.com/weibo?q=#张嘉倪剪影身材#,2023-05-27 12:42:40
583,影视,三分野加更,34,201885,2023-05-27 12:29:28,https://s.weibo.com/weibo?q=#三分野加更#,2023-05-27 12:42:40
585,影视,小美人鱼,36,187699,2023-05-27 11:52:28,https://s.weibo.com/weibo?q=#小美人鱼#,2023-05-27 12:42:40
589,"科技,社会新闻",孙笑川吧吧主获得百度贴吧优秀吧主奖,40,157866,2023-05-27 12:34:28,https://s.weibo.com/weibo?q=#孙笑川吧吧主获得百度贴吧优秀吧主奖#,2023-05-27 12:42:40
592,"教育,情感",给我一顶毕业帽,43,139950,2023-05-27 12:26:28,https://s.weibo.com/weibo?q=#给我一顶毕业帽#,2023-05-27 12:42:40
595,作品衍生,内娱影圈四子,46,131866,2023-05-27 12:39:28,https://s.weibo.com/weibo?q=#内娱影圈四子#,2023-05-27 12:42:40
602,社会新闻,看夏收画卷在祖国各地徐徐展开,3,1110779,2023-05-27 12:48:29,https://s.weibo.com/weibo?q=#看夏收画卷在祖国各地徐徐展开#,2023-05-27 13:42:41
603,国外要闻,塞尔维亚,4,1078994,2023-05-27 12:50:30,https://s.weibo.com/weibo?q=#塞尔维亚#,2023-05-27 13:42:41
605,综艺,徐怀钰眼里有光了,6,831898,2023-05-27 13:24:28,https://s.weibo.com/weibo?q=#徐怀钰眼里有光了#,2023-05-27 13:42:41
606,综艺,陈意涵大哭,7,748572,2023-05-27 13:15:26,https://s.weibo.com/weibo?q=#陈意涵大哭#,2023-05-27 13:42:41
609,综艺,Amber谢欣第一,10,592029,2023-05-27 12:46:29,https://s.weibo.com/weibo?q=#Amber谢欣第一#,2023-05-27 13:42:41
612,综艺,迷迭香二公最佳,13,490363,2023-05-27 13:01:30,https://s.weibo.com/weibo?q=#迷迭香二公最佳#,2023-05-27 13:42:41
621,幽默,伴娘为什么一定要未婚才行,22,272336,2023-05-27 12:45:29,https://s.weibo.com/weibo?q=#伴娘为什么一定要未婚才行#,2023-05-27 13:42:41
622,艺人,关晓彤酒蒙子,23,271774,2023-05-27 13:22:26,https://s.weibo.com/weibo?q=#关晓彤酒蒙子#,2023-05-27 13:42:41
624,社会新闻,大熊猫丫丫即将结束隔离,25,219228,2023-05-27 13:31:28,https://s.weibo.com/weibo?q=#大熊猫丫丫即将结束隔离#,2023-05-27 13:42:41
625,综艺,汪小敏 淘汰,26,219218,2023-05-27 13:16:28,https://s.weibo.com/weibo?q=#汪小敏 淘汰#,2023-05-27 13:42:41
626,综艺,芝芙空中吊环倒立出场,27,219168,2023-05-27 13:02:28,https://s.weibo.com/weibo?q=#芝芙空中吊环倒立出场#,2023-05-27 13:42:41
631,综艺,从头,32,210402,2023-05-27 13:23:28,https://s.weibo.com/weibo?q=#从头#,2023-05-27 13:42:41
632,综艺,全员加速中,33,203708,2023-05-27 12:46:29,https://s.weibo.com/weibo?q=#全员加速中#,2023-05-27 13:42:41
633,"财经,社会新闻",2850元拍下价值8万茅台后续,34,195287,2023-05-27 13:09:25,https://s.weibo.com/weibo?q=#2850元拍下价值8万茅台后续#,2023-05-27 13:42:41
636,综艺,Amber谢欣把所有姐姐舞台编一起拉票,37,193317,2023-05-27 13:31:28,https://s.weibo.com/weibo?q=#Amber谢欣把所有姐姐舞台编一起拉票#,2023-05-27 13:42:41
641,社会新闻,萌兰舅舅的电动马达臀已炼成,42,143273,2023-05-27 13:18:27,https://s.weibo.com/weibo?q=#萌兰舅舅的电动马达臀已炼成#,2023-05-27 13:42:41
646,作品衍生,林娜琏看到恶评的反应,47,127303,2023-05-27 12:47:28,https://s.weibo.com/weibo?q=#林娜琏看到恶评的反应#,2023-05-27 13:42:41
649,情感,判断一个行业对女性是否友好,50,103830,2023-05-27 13:30:27,https://s.weibo.com/weibo?q=#判断一个行业对女性是否友好#,2023-05-27 13:42:41
653,"幽默,艺人",李玉刚四美图被认成回美国,4,938006,2023-05-27 13:51:28,https://s.weibo.com/weibo?q=#李玉刚四美图被认成回美国#,2023-05-27 14:42:41
659,音乐,王心凌耳返没声音盲唱,10,403407,2023-05-27 14:07:26,https://s.weibo.com/weibo?q=#王心凌耳返没声音盲唱#,2023-05-27 14:42:41
660,情感,国际生 职高生,11,401218,2023-05-27 14:05:28,https://s.weibo.com/weibo?q=#国际生 职高生#,2023-05-27 14:42:41
665,社会新闻,白色大熊猫,16,321159,2023-05-27 14:07:26,https://s.weibo.com/weibo?q=#白色大熊猫#,2023-05-27 14:42:41
666,艺人,乐华,17,291814,2023-05-27 14:33:27,https://s.weibo.com/weibo?q=#乐华#,2023-05-27 14:42:41
668,情感,有人坐过以前公交车的这个位置吗,19,268386,2023-05-27 13:49:27,https://s.weibo.com/weibo?q=#有人坐过以前公交车的这个位置吗#,2023-05-27 14:42:41
671,音乐,五月天杭州演唱会官宣,22,235288,2023-05-27 14:28:26,https://s.weibo.com/weibo?q=#五月天杭州演唱会官宣#,2023-05-27 14:42:41
676,音乐,张云雷演唱会,27,207760,2023-05-27 14:37:28,https://s.weibo.com/weibo?q=#张云雷演唱会#,2023-05-27 14:42:41
686,音乐,鹿晗演唱会广州站售罄,37,152900,2023-05-27 13:45:28,https://s.weibo.com/weibo?q=#鹿晗演唱会广州站售罄#,2023-05-27 14:42:41
